Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2018-05-16;6,6;28,2;22,6;18,9;
2018-05-17;,2;29,4;22,8;18,3;
2018-05-18;0;32,2;24,5;19,3;
2018-05-19;12,4;24,6;20;17,1;
2018-05-20;,2;20,4;14,2;9;
2018-05-21;0;23,4;14,2;7;
2018-05-22;0;24,8;15,7;8,2;
2018-05-23;0;26,6;16,9;9,6;
2018-05-24;0;28,8;19,9;14;
2018-05-25;0;27,9;20,9;15,4;
2018-05-26;0;28,3;21,1;16;
2018-05-27;0;28,4;21,3;15,5;
2018-05-28;0;28,1;20,9;15,1;
2018-05-29;0;27,4;20,4;14,6;
2018-05-30;0;27,9;20,8;14,4;
2018-05-31;0;28,5;20,2;13,3;
2018-06-01;0;29;20,4;13,7;
2018-06-02;0;29,8;22,8;17,9;
2018-06-03;0;28;22,1;17,3;
2018-06-04;0;23,8;18,7;14,9;
2018-06-05;0;27,8;20,9;16,1;
2018-06-06;0;26,5;21,3;17,7;
2018-06-07;0;26,6;21;17,6;
2018-06-08;0;21,7;17,5;14,1;
2018-06-09;0;28,1;19,1;13,4;
2018-06-10;0;32,2;23,4;16,6;
2018-06-11;0;32,3;25,7;20,6;
2018-06-12;0;32,7;24,9;18,5;
2018-06-13;9;26,2;22,3;19,3;
2018-06-14;0;28,2;21,5;16,8;
2018-06-15;0;26,5;20,3;15;
2018-06-16;0;25,4;19,1;14;
2018-06-17;0;27,1;19,4;13,7;
2018-06-18;0;26,6;20;14,4;
2018-06-19;0;27,9;20,7;15,1;
2018-06-20;0;28,2;21,4;16,4;
2018-06-21;0;30,1;21,1;14,2;
2018-06-22;0;29,8;22,2;15,5;
2018-06-23;0;31,1;24,4;19,3;
2018-06-24;0;31;23,8;19,9;
2018-06-25;0;31;22;14,7;
2018-06-26;0;31,8;22,5;15,9;
2018-06-27;0;31,7;22,3;14,8;
2018-06-28;0;30,7;23;17,2;
2018-06-29;0;30;22,4;16,4;
2018-06-30;0;30,1;21,4;15;
2018-07-01;0;30,7;22;14,9;
2018-07-02;0;31,6;22,8;14,8;
2018-07-03;0;31,7;23,1;15,2;
2018-07-04;null;30,9;null;15,2;
2018-07-05;0;31,2;23,3;16,7;
2018-07-06;null;30,5;null;15,5;
2018-07-07;null;null;null;null;
2018-07-08;null;30,7;null;14,1;
2018-07-09;null;24,6;null;15,6;
2018-07-10;null;22,4;null;12,8;
2018-07-11;null;21,6;null;9,7;
2018-07-12;null;23,6;null;8,8;
2018-07-13;null;27,4;null;11,9;
2018-07-14;null;null;null;null;
2018-07-15;null;null;null;null;
2018-07-16;null;null;null;null;
2018-07-17;null;null;null;null;
2018-07-18;null;null;null;null;
2018-07-19;null;null;null;null;
2018-07-20;null;null;null;null;
2018-07-21;null;null;null;null;
2018-07-22;null;null;null;null;
2018-07-23;null;null;null;null;
2018-07-24;null;null;null;null;
2018-07-25;null;null;null;null;
2018-07-26;null;null;null;null;
2018-07-27;null;null;null;null;
2018-07-28;null;null;null;null;
2018-07-29;null;null;null;null;
2018-07-30;null;null;null;null;
2018-07-31;null;null;null;null;
2018-08-01;null;null;null;null;
2018-08-02;null;null;null;null;
2018-08-03;null;null;null;null;
2018-08-04;null;25,9;null;null;
2018-08-05;null;22;null;17,3;
2018-08-06;null;null;null;16,5;
2018-08-07;null;22,1;null;null;
2018-08-08;0;24,5;18,1;15;
2018-08-09;4,4;24,1;18,6;15,5;
2018-08-10;0;22,2;14,8;7,9;
2018-08-11;0;24,9;14,8;7;
2018-08-12;0;26,4;17;8,2;
2018-08-13;0;28,2;18,2;10,2;
2018-08-14;0;30,6;20,4;12,8;
2018-08-15;0;31;21,9;13,2;
2018-08-16;0;27,2;20;15;
2018-08-17;0;27,8;20,3;14,7;
2018-08-18;0;29,1;20,8;14,1;
2018-08-19;0;31,3;23;15,7;
2018-08-20;0;32,7;24;15,6;
2018-08-21;0;32,7;25;18,2;
2018-08-22;0;25,1;21,1;17,6;
2018-08-23;0;32,2;23,2;16,9;
2018-08-24;0;27,6;21,6;18,9;
2018-08-25;14,6;23,5;20,3;18,3;
2018-08-26;0;25,7;18,4;12,1;
2018-08-27;0;27,2;18,2;10,6;
2018-08-28;0;31,1;21,4;14,1;
2018-08-29;0;31;23,5;17;
2018-08-30;0;32,6;24,7;16,5;
2018-08-31;0;34,2;25,3;16,6;
2018-09-01;0;35,8;27;19,4;
2018-09-02;0;35,7;26;21,7;
2018-09-03;0;22;16,9;13,9;
2018-09-04;,4;24,2;17,1;11,8;
2018-09-05;0;24,7;17,4;11,1;
2018-09-06;0;29,3;19,6;11,6;
2018-09-07;0;33,6;22,8;13,8;
2018-09-08;0;34,2;25,1;17,7;
2018-09-09;0;33,3;25,1;16,7;
2018-09-10;0;34,1;24,1;15;
2018-09-11;0;32,5;23,7;15,9;
2018-09-12;0;32,1;23,2;15,9;
2018-09-13;0;34,8;24,4;16,4;
2018-09-14;0;27;null;18,7;
2018-09-15;5,6;26,4;21,2;17,9;
2018-09-16;0;29;22,1;16,9;
2018-09-17;21,8;24,9;19,4;15,9;
2018-09-18;,4;28,7;21,7;16;
2018-09-19;0;32,5;24,7;18,2;
2018-09-20;32,4;27,3;20,4;17,2;
2018-09-21;18;30,3;21,7;15,9;
2018-09-22;0;32,9;25,6;19,2;
2018-09-23;0;35,2;26,9;18,7;
2018-09-24;0;37,4;28,2;19,2;
2018-09-25;0;36;27,4;19,1;
2018-09-26;0;35,1;26,4;20,4;
2018-09-27;5,8;27,2;23,4;21,3;
2018-09-28;,2;32,9;24,7;20,4;
2018-09-29;8,8;32,3;25,9;20,2;
2018-09-30;0;27,9;23;22,7;
2018-10-01;14;31,9;24,7;19,8;
2018-10-02;0;33,7;27,1;20,8;
2018-10-03;0;35,6;28,3;21,9;
2018-10-04;0;33,5;26,8;21,6;
2018-10-05;0;31,6;25,1;19,5;
2018-10-06;0;31,9;22,9;16,6;
2018-10-07;0;29,9;22,7;18,8;
2018-10-08;null;null;null;20,8;
2018-10-09;null;null;null;null;
2018-10-10;21,4;29,7;23,2;20;
2018-10-11;30,4;29,2;24,2;20,6;
2018-10-12;0;33,7;25,2;19,4;
2018-10-13;0;33,6;27,4;23,5;
2018-10-14;,2;32,7;26,8;22,6;
2018-10-15;24,2;31,8;25,4;19,8;
2018-10-16;0;33,4;25,4;20,7;
